"","population","Env","production","rust","green"
"G19","Prec","fem",-1.18229308849648,0.0205462932042732,3.57204669333904
"G45","Prec","fem",-3.2735919669519,0.289760719950948,48.1052103756789
"G63","Prec","fem",-3.87806525429959,0.07510584026491,42.5143098231568
"G78","Prec","fem",-4.28181010943502,-0.0488948917091353,36.4144838901058
"G91","Prec","fem",-0.129559077970271,-0.159528302664145,-11.6263447677747
"P4","Prec","fem",3.05011011714771,-0.0297865124338345,10.9077922333396
"P5","Prec","fem",1.34319293902567,0.23512411889441,25.3943381698902
"P8","Prec","fem",1.95819283013983,0.71165871556134,22.4179853825193
"P9","Prec","fem",2.70234436059763,0.731846686400406,6.15948196364685
"P16","Prec","fem",-3.1632545339728,0.0480005748521592,11.9620331037004
"P21","Prec","fem",-0.576757234626217,-0.025788069365109,23.3099830397182
"P23","Prec","fem",-2.68301884818034,-0.323545024362371,-23.4707096352622
"P30","Prec","fem",4.34163914294368,0.156531550814722,-18.1383121676563
"P70","Prec","fem",4.41231305410959,-0.120542705158318,3.28749478402629
"P71","Prec","fem",-0.822770738070016,-0.0732986682519131,-19.2875544279861
"P79","Prec","fem",3.45241210283172,0.147020215694492,-19.2494958154082
"P80","Prec","fem",0.915025629257213,0.765042026304557,0.841673355150947
"P81","Prec","fem",3.0820890560599,0.510939684295294,8.06359052844834
"P82","Prec","fem",-1.23411426938961,0.386447478916194,7.32976985254585
"P84","Prec","fem",-0.432420422757214,0.279244457969625,8.65329976124427
"P85","Prec","fem",1.28752674075868,-0.154004607042866,18.0001642212334
"P93","Prec","fem",-2.82752159475316,-0.178191020950655,-43.2337973370297
"P1","Prec","fem",-0.171850708760439,0.531424934552679,-21.0997773081026
"P3","Prec","fem",0.442493930154866,-0.150954101937758,7.30778400291497
"P6","Prec","fem",-3.28830431860389,-0.0248509349712649,25.223308908745
"P7","Prec","fem",-1.31386066667106,0.0373134760674625,11.9995674452938
"P11","Prec","fem",-5.72797283404183,0.129077269166836,54.0267496727865
"P12","Prec","fem",-7.80373018090742,0.235372888912395,50.6576412125242
"P13","Prec","fem",-0.207476812692524,0.711658715561341,19.6389597863098
"P17","Prec","fem",1.49156556248058,0.159799418554817,17.4798230748612
"P20","Prec","fem",-1.90971718226079,0.53180148232791,-10.9773797276566
"P22","Prec","fem",5.66033362593933,-0.20151520592967,14.4370725090892
"P24","Prec","fem",6.0827531972096,-0.420896955482228,21.5176622195543
"P25","Prec","fem",0.573083388294043,-0.265226136156587,-36.5076102167499
"P26","Prec","fem",-2.58773451791815,-0.164681242761701,-14.9331131003754
"P27","Prec","fem",3.90537038694663,-0.304739848905942,-22.9997934649398
"P28","Prec","fem",-0.368531992926924,-0.107441946119679,4.06516044096608
"P29","Prec","fem",2.68149438047538,0.406635449755259,-2.20718177808448
"P32","Prec","fem",-3.67308332146805,0.294031125258905,-0.486088452924147
"P34","Prec","fem",3.21085311828357,-0.388638749971923,-42.9792037498839
"P36","Prec","fem",1.03800738376264,0.0363868047394799,-6.83334494269979
"P39","Prec","fem",-1.7726454166826,0.283222835939922,30.5623237603487
"P40","Prec","fem",-1.61732512409509,0.306101359930148,-25.8048958144177
"P42","Prec","fem",6.46020142645757,-0.126550325394983,-41.447171911185
"P43","Prec","fem",-0.675107553963973,-0.165912379011233,-23.6059743252938
"P46","Prec","fem",-0.465806414825248,-0.259702440535307,5.38547272703748
"P48","Prec","fem",3.88732664601075,-0.199989953377117,-9.07708940689295
"P50","Prec","fem",4.4989799526251,-0.669389892835373,-50.8848500202676
"P51","Prec","fem",6.17944343003952,-0.553243589828857,10.9956582567125
"P52","Prec","fem",-0.900862806964591,-0.172667325329378,-21.5685706811177
"P53","Prec","fem",-3.31353930108538,0.214718785420359,50.0230539023884
"P57","Prec","fem",0.934073100590403,0.104890855259048,10.1681103801618
"P58","Prec","fem",-1.15886308596444,-0.112017703777343,15.5490347089862
"P59","Prec","fem",-4.25801926684211,0.00740727053904195,117.249605876463
"P66","Prec","fem",4.76641062596038,-0.349919714446493,-40.5018739560107
"P67","Prec","fem",4.09150366623659,-0.0717734156993579,-6.60807563280819
"P68","Prec","fem",4.25744587353736,0.0571628937372564,-27.2350466674504
"P69","Prec","fem",2.42838864140369,-0.14666429546618,-23.4683129164265
"P72","Prec","fem",5.77170394042686,-0.248437686657764,-20.7261993771132
"P73","Prec","fem",0.867804521010311,-0.050997326701584,-63.2964702035912
"P74","Prec","fem",-1.01561476300626,0.00471671738788408,-21.726604933346
"P75","Prec","fem",2.03757434099609,0.0443728873071594,-37.1073912736341
"P76","Prec","fem",6.09309630601731,-0.353330039356507,-19.5898926276815
"P77","Prec","fem",1.33882031491791,0.241093475504482,-35.6050717570436
"P83","Prec","fem",4.09983702702779,0.229251407038,31.072682520897
"P86","Prec","fem",4.44653910296816,-0.35191276803626,22.3310161301969
